JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Finance And Operations Manager,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 7,00,000 - 8,00,000 /year"
Spanish Language Experts - Fresher,NULL,NULL,NULL,NULL,"ranging from 60,000 to 75,000, depending on skills and experience.
Additional Information:
No cab or meal facilities are provided for this role.
Candidates must be comfortable working from the office at the Noida location.
Interviews are conducted through walk-ins only.
Application Process:
Interested candidates should send their updated resume via WhatsApp to the hiring contact listed below or walk in for an interview.
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 7,00,000 - 8,00,000 /year"
Interior Designer - Fresher,"Key responsibilities:

1. Sketching various design plans
2. Sourcing materials and products for the designs
3. Conducting presentations
4. Sketching concepts using design software
5. Visualizing and sketching design plans as per client goals
6. Creating, reading, and editing architectural blueprints
7. Assisting with client presentations
8. Adhering to specific budgets and timelines
9. Consulting clients to determine their creative vision",NULL,NULL,"1. Work drawings

2. Required furniture presentation skills as per client requirement

3. Needs to be presentable

4. Must pose 2 wheeler mandate","Annual CTC: ₹ 7,00,000 - 7,30,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,00,000 - 3,25,000 /year

2. Variable pay: ₹ 4,00,000 - 4,05,000 /year

Perks
Informal dress code
Free snacks & beverages"
Business Analyst,"Key responsibilities:

1. Use AI tools to drive insights and process improvements.
2. Collaborate with cross-functional teams for solution delivery.
3. Prepare reports, presentations, and documentation.


What We Offer:

1. Opportunity to work on innovative and impactful business projects.
2. Exposure to cutting-edge AI tools and technologies.
3. A collaborative and learning-focused environment.
4. Growth opportunities and career progression based on performance.
5. Competitive compensation and benefits.","Business Analysis
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Project Management
Research and Analytics
Earn certifications in these skills
Learn Agile Methodology
Learn Business Communication
Learn MS-Excel
Learn Project Management
Learn Research and Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Graduate/Postgraduate from a premier institute.

2. Strong analytical, problem-solving, and written communication skills.

3. Knowledge of AI tools and data analysis.

4. Ability to work in a fast-paced, collaborative environment.","Annual CTC: ₹ 7,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 5,00,000 /year

2. Variable pay: ₹ 2,00,000 /year

Perks
5 days a week"
Angular Developer,"Key Responsibilities:

1. Build and maintain complex frontend applications using Angular 11+
2. Utilize the NGPrime UI library to create rich, interactive, and responsive UIs
3. Implement Bootstrap 4+ to ensure the application is mobile-responsive and follows best practices for UI/UX design
4. Write clean, maintainable, and efficient code following Angular best practices
5. Work closely with UI/UX designers to implement intuitive and user-friendly interfaces
6. Collaborate with backend developers to ensure seamless integration with RESTful APIs and other services
7. Engage in regular code reviews, ensuring high-quality, well-tested, and documented code
8. Provide continued support for the current product line, including debugging, troubleshooting, and addressing issues in production
9. Perform regular updates and optimizations to ensure the application remains fast and responsive
10. Follow coding standards and best practices, ensuring optimal performance and scalability of the application
11. Implement unit tests using Angular testing tools like Jasmine and Karma, ensuring high-quality code
12. Keep up to date with Angular's evolving features, implementing new features as needed
13. Optimize web applications for speed and performance, including reducing load times and ensuring high-quality UX across different devices and browsers","Angular
Bootstrap
Git
HTML 5
JavaScript
REST API
TestNG
Webpack
Earn certifications in these skills
Learn Angular
Learn Bootstrap
Learn Git SVN
Learn Git
Learn Node.JS using Javascript
Learn Software Testing using Javascript
Learn JavaScript
Learn Node.JS
Learn ReactJS","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Experience with TypeScript and RxJS in Angular applications

2. Familiarity with RESTful APIs and integrating them into frontend applications

3. Knowledge of modern JavaScript libraries and frameworks (React, Vue.js, etc.) is a plus

4. Knowledge of JavaScript backend libraries such as Node.js

5. Experience with build tools like Webpack or Angular CLI

6. Familiarity with continuous integration/continuous deployment (CI/CD) pipelines","Annual CTC: ₹ 7,00,000 /year

Perks
5 days a week"
Senior Software Developer,"We are seeking a highly skilled and experienced Senior Software Developer to join our dynamic team at K S ENGINEERING. If you are proficient in Java, MySQL, CSS, JavaScript, Python, .NET, Node.js, HTML, C++ Programming, and React, we want to hear from you!

Key responsibilities:

1. Design, develop, and implement software solutions using various programming languages and technologies.
2. Collaborate with cross-functional teams to analyze user needs and design appropriate software solutions.
3. Write clean, efficient, and maintainable code to meet project requirements and deadlines.
4. Conduct thorough testing and debugging to ensure software quality and performance.
5. Stay up-to-date with the latest technologies and trends in software development to continuously improve our products.
6. Provide technical guidance and mentorship to junior developers to foster a collaborative and innovative work environment.
7. Participate in code reviews, brainstorming sessions, and team meetings to contribute to the overall success of the company.


If you are a proactive problem-solver with a passion for software development, we invite you to apply for this exciting opportunity with K S ENGINEERING. Join us in creating cutting-edge solutions and driving innovation in the industry!",".NET
C++ Programming
CSS
HTML
Java
JavaScript
MySQL
Node.js
Python
React
Earn certifications in these skills
Learn C++ Programming
Learn CSS
Learn HTML
Learn Java
Learn Python
Learn Angular
Learn Node.JS
Learn Node.JS using Javascript
Learn MySQL
Learn Software Testing using Javascript
Learn ReactJS
Learn JavaScript","Only those candidates can apply who:

1. have minimum 1 years of experience",1. Fixing and improving existing software,"Annual CTC: ₹ 6,70,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,90,000 /year

2. Variable pay: ₹ 3,80,000 /year

Perks
5 days a week"
CEO,"Key responsibilities:

1. Define and execute growth strategies for market leadership.
2. Secure funding and partnerships with VCs and distributors like Flipkart.
3. Lead product innovation in IoT and AI automation.
4. Build a diverse, women-empowered team.
5. Ensure compliance with India's regulations (e.g., DPDP Act).
6. Drive brand awareness and customer-centric solutions.","Computer skills
Interpersonal skills
Earn certifications in these skills
Learn Effective Communication
Learn Interpersonal skills
Learn MS-Excel
Learn Networking","Only those candidates can apply who:

1. have minimum 1 years of experience","Patriotism: Deep love for India, driving 'Atmanirbhar Bharat' through local innovation.

Women Empowerment: Commitment to gender equality, mentoring women in tech.

Ambition: Hunger to scale Bharat Switch, mirroring founder Saidev Veesam's passion.

Tech Passion: Enthusiasm for IoT/AI, with experience in tech product development.

Adaptability: Quick learner, pivoting to market or regulatory shifts.

Strategic Acumen: Expertise in fundraising, operations, and Indian market dynamics.

Integrity: Ethical leadership, fostering trust and inclusivity.

Communication: Strong storyteller for investors, teams, and customers.","Annual CTC: ₹ 6,60,000 - 12,00,000 /year"
Business Development Executive,"Key responsibilities:

1. Identify and connect with potential clients via calls, emails, LinkedIn, and other channels
2. Pitch our services (SEO, website development, etc.) to prospective clients
3. Understand client requirements and collaborate with the internal team to deliver tailored proposals
4. Maintain a strong follow-up process to close deals
5. Keep track of leads, opportunities, and performance metrics using CRM tools
6. Help improve sales strategies through feedback and market insights","Cold Calling
Content Marketing
Digital Marketing
Email Marketing
Lead Generation
LinkedIn Marketing
Marketing Campaigns
Sales
Social Media Marketing
Earn certifications in these skills
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 10,80,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 1,80,000 - 4,80,000 /year

2. Variable pay: ₹ 4,80,000 - 6,00,000 /year

Perks
Informal dress code
5 days a week"
Inside Sales Associate - B2C,"Key Responsibilities:

1. Contacting potential or existing customers over the phone to present our products, address their doubts and questions, and drive conversions
2. Keeping records of calls and sales, and noting useful information/feedback to increase conversion efficiency and improve our products
3. Understand users' pain points and help them understand the placement guarantee courses (which will be your product to sell) and why they should choose Internshala

Additional information:

1. For outstation candidates, we provide PG accommodation for the first 7 days and also reimbursement of AC-3 tier train fare for relocation
2. The CTC is 6.6LPA - 8LPA (in which 3.6-5 LPA is fixed and 3 variables)","Effective Communication
English Proficiency (Spoken)
Negotiation
Problem Solving
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Problem Solving",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 8,00,000 /year

Perks
Informal dress code
5 days a week
Health Insurance"
Admission Counsellor (Tamil Language),"Key responsibilities:

1. Contacting potential or existing customers over the phone to present our products, address their doubts and questions, and drive conversions
2. Keeping records of calls and sales, and noting useful information/feedback to increase conversion efficiency and improve our products
3. Understand users' pain points and help them understand the placement guarantee courses (which will be your product to sell) and why they should choose Internshala
4. Participating in team meetings, discussing user feedback with the team, and brainstorming ideas for optimizing the product and services
5. Comfortable communicating in Hindi, English + regional language (Tamil)

Additional information:

1. For outstation candidates, we provide PG accommodation for the first 7 days and also reimbursement of AC-3 tier train fare for relocation
2. The CTC is 6.8LPA - 8LPA (in which 3.8-5 LPA is fixed and 3 variables)","Effective Communication
English Proficiency (Spoken)
Negotiation
Problem Solving
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Problem Solving",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 8,00,000 /year

Perks
Informal dress code
5 days a week
Health Insurance"
Corporate Sales Executive,"Key responsibilities:

1.Conduct proactive outreach and cold calling to identify potential clients and propose customized business setup solutions.
2. Provide expert consultation on company formation, business licensing, visa processing, and compliance with local regulations.
3. Engage with clients to understand their business objectives, needs, and regulatory requirements","Effective Communication
English Proficiency (Spoken)
Interpersonal skills
Negotiation
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Interpersonal skills
Learn Networking",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 8,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,00,000 /year

2. Variable pay: ₹ 3,00,000 - 4,00,000 /year"
Sales Executive,"Key responsibilities:

1. Provide expert advice on company formation, licensing, visa processing, and other regulatory matters.
2. Engage in proactive cold calling to identify and reach out to potential clients and offer tailored business setup solutions.
3. Consult with clients to understand their business objectives and requirements.","Effective Communication
English Proficiency (Spoken)
Interpersonal skills
Negotiation
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Interpersonal skills
Learn Networking",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 8,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 3,60,000 - 4,00,000 /year

2. Variable pay: ₹ 3,00,000 - 4,00,000 /year"
Senior E-commerce Head,"As a senior e-commerce head at Stag International, you will be responsible for leading our online retail strategy and driving growth in our digital sales channels. This role requires a deep understanding of e-commerce best practices, consumer behavior, and market trends.

Key Responsibilities:

1. Develop and implement a comprehensive e-commerce strategy to increase online sales and drive revenue growth.
2. Manage a team of e-commerce specialists and collaborate cross-functionally with marketing, product, and finance teams.
3. Oversee the day-to-day operations of our online store, including inventory management, pricing, and promotions.
4. Analyze sales data and trends to identify opportunities for improvement and optimize the customer experience.
5. Stay current on industry developments and competitor activities to inform strategic decision-making.
6. Drive innovation in e-commerce technology to enhance the shopping experience and streamline processes.
7. Develop and maintain strong relationships with key partners and vendors to ensure seamless operations and high-quality service.

If you are a dynamic and strategic thinker with a passion for e-commerce, we invite you to join our team and help shape the future of online retail at Stag International.","E-commerce
Earn certifications in these skills
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 7,20,000 /year"
Senior E-commerce Manager,"As a senior e-commerce manager at Stag Iconic Pvt Ltd, you will have the opportunity to drive the growth and success of our online retail operations. We are seeking a dynamic and experienced individual who is well-versed in e-commerce strategies and trends to join our team.

Key responsibilities:

1. Develop and execute the overall e-commerce strategy to drive revenue growth and increase market share.
2. Manage the day-to-day operations of the e-commerce platform, including product listings, pricing, promotions, and inventory management.
3. Analyze and report on key metrics such as conversion rates, traffic, and sales performance to optimize the online shopping experience.
4. Collaborate with cross-functional teams, including marketing, operations, and IT, to ensure seamless integration of e-commerce initiatives.
5. Stay current on industry best practices and trends to continuously improve our e-commerce presence and stay ahead of the competition.
6. Drive customer acquisition and retention through targeted marketing campaigns and personalized shopping experiences.
7. Lead a team of e-commerce specialists to help execute strategies and achieve business objectives.

If you are a results-driven professional with a passion for e-commerce and a proven track record of success, we invite you to apply for this exciting opportunity at Stag Iconic Pvt Ltd. Join us in revolutionizing the way consumers shop online!","E-commerce
Earn certifications in these skills
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 6,60,000 - 7,20,000 /year"
Sales Manager-B2B,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 6,60,000 - 7,20,000 /year"
Full Stack Developer - Fresher,"As a Full Stack Developer at DeepNexus.in, you will have the exciting opportunity to work on cutting-edge projects using your expertise in .NET and React. We are seeking a talented individual who is passionate about creating innovative solutions and thrives in a fast-paced, collaborative environment.

Key responsibilities:

1. Develop and maintain web applications using .NET and React.
2. Design and implement robust, scalable, and secure code.
3. Collaborate with cross-functional teams to define, design, and ship new features.
4. Optimize applications for maximum speed and scalability.
5. Troubleshoot and debug issues to ensure optimal performance.
6. Stay up-to-date with the latest technologies and best practices in software development.
7. Contribute to the overall success of the team through active participation and collaboration.

If you are a skilled Full Stack Developer looking to take your career to the next level, apply now to join our dynamic team at DeepNexus.in!",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 9,50,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 5,00,000 - 7,00,000 /year

2. Variable pay: ₹ 1,50,000 - 2,50,000 /year

Perks
5 days a week"
Business Development Executive,"Key Responsibilities:

1. Identify and generate new leads through networking, referrals, site visits, and digital platforms.
2. Meet prospective clients, understand their interior design requirements, and present customized solutions.
3. Conduct showroom walkthroughs, explain design concepts, materials, and the execution process.
4. Coordinate with the design team for proposals, quotations, and presentations.
5. Negotiate pricing, payment terms, and close sales within company guidelines.
6. Achieve monthly and quarterly sales targets.
7. Maintain strong relationships with existing and potential clients to ensure repeat and referral business.
8. Update and manage lead status in CRM/ERP regularly.
9. Collaborate with the marketing and presales teams for lead nurturing and conversion.
10. Stay updated on interior design trends, competitor activities, and market insights.","Business Development
Sales
Sales Management
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience","Preferred candidate profile:

1. Experience: 0 to 1 years in sales, preferably in interior design, real estate, modular kitchen, or related industry.

2. Education: Graduate (any discipline); MBA in marketing/sales is an added advantage.

3. Excellent communication & interpersonal skills in English, Hindi, and local language (Kannada preferred).

4. Strong negotiation and convincing ability with client-facing experience.

5. Passion for design and ability to explain design concepts to clients.

6. Self-motivated, target-driven, and willing to work under pressure.

7. Good knowledge of the Bangalore market & ability to travel for client meetings.

8. Proficiency in MS Office/CRM tools.","Annual CTC: ₹ 6,50,000 - 9,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 6,00,000 - 8,00,000 /year

2. Variable pay: ₹ 50,000 - 1,00,000 /year

Perks
Free snacks & beverages
Health Insurance"
"Finance Head-Mandya,Karnataka(Hospital Industry)",NULL,NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 8,00,000 /year"
Business Development Specialist - Fresher Hiring - Fresher,"Key Responsibilities:

1. Connect with parents or adult learners and invite them to personalized 1:1 video counseling sessions
2. Deliver value-packed counseling sessions, address concerns, and guide decision-makers toward enrolling in our transformative programs
3. Own the end-to-end sales funnel from first touch to final conversion with precision and persistence

Why sales at PlanetSpark are a game-changer:

1. No cold calls, only warm leads: Work with prospects who've already experienced a demo class, high intent, and higher success
2. World-class training: Get industry-best training with live sessions, hands-on mentoring, and real-time learning from sales champions
3. Fast-track career growth: Skyrocket your career with quick promotion cycles and aggressive performance-based pay hikes
4. Be seen, be celebrated: Weekly recognition ceremonies spotlight top performers because your hustle deserves the spotlight
5. Uncapped incentives",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Sales - Urgent Hiring - Fresher,"Key Responsibilities:

1. Connect with parents or adult learners and invite them to personalized 1:1 video counseling sessions
2. Deliver value-packed counseling sessions, address concerns, and guide decision-makers toward enrolling in our transformative programs
3. Own the end-to-end sales funnel from first touch to final conversion with precision and persistence

Why sales at PlanetSpark are a game-changer:

1. No cold calls, only warm leads: Work with prospects who've already experienced a demo class, high intent, and higher success
2. World-class training: Get industry-best training with live sessions, hands-on mentoring, and real-time learning from sales champions
3. Fast-track career growth: Skyrocket your career with quick promotion cycles and aggressive performance-based pay hikes
4. Be seen, be celebrated: Weekly recognition ceremonies spotlight top performers because your hustle deserves the spotlight
5. Uncapped incentives",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development Associate - Fresher,"Key Responsibilities:

1. Engage with parents or adult learners and invite them to personalized 1:1 video counseling sessions.
2. Conduct impactful counseling sessions, resolve queries, and guide decision-makers toward enrolling in PlanetSpark's transformative programs.
3. Manage the complete sales funnel from first interaction to final conversion with persistence, empathy, and precision.

Why choose sales at PlanetSpark?

1. Zero cold calling, only warm leads - Work with prospects who have already attended a demo class and shown genuine interest.
2. Best-in-class training - Learn from sales champions through live workshops, real-time mentoring, and practical exercises.
3. Rapid career progression - Experience fast-track promotions and significant performance-driven pay hikes.
4. Celebrate success - Weekly recognition programs highlight top performers and put your achievements in the spotlight.
5. Unlimited earning potential - Attractive, uncapped incentives on top of your salary.",NULL,NULL,NULL,".
Skill(s) required
Business Development
Effective Communication
Inside Sales
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development (Sales) Associate - Fresher,"Key Responsibilities:

1. Engage with parents or adult learners and invite them to personalized 1:1 video counseling sessions.
2. Conduct impactful counseling sessions, resolve queries, and guide decision-makers toward enrolling in PlanetSpark's transformative programs.
3. Manage the complete sales funnel from first interaction to final conversion with persistence, empathy, and precision.

Why choose sales at PlanetSpark?

1. Zero cold calling, only warm leads - Work with prospects who have already attended a demo class and shown genuine interest.
2. Best-in-class training - Learn from sales champions through live workshops, real-time mentoring, and practical exercises.
3. Rapid career progression - Experience fast-track promotions and significant performance-driven pay hikes.
4. Celebrate success - Weekly recognition programs highlight top performers and put your achievements in the spotlight.
5. Unlimited earning potential - Attractive, uncapped incentives on top of your salary.",NULL,NULL,NULL,".
Skill(s) required
Business Development
Effective Communication
Inside Sales
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Sales Associate - Fresher Hiring - Fresher,"Key Responsibilities:

1. Engage with parents or adult learners and invite them to personalized 1:1 video counseling sessions.
2. Conduct impactful counseling sessions, resolve queries, and guide decision-makers toward enrolling in PlanetSpark's transformative programs.
3. Manage the complete sales funnel from first interaction to final conversion with persistence, empathy, and precision.

Why choose sales at PlanetSpark?

1. Zero cold calling, only warm leads - Work with prospects who have already attended a demo class and shown genuine interest.
2. Best-in-class training - Learn from sales champions through live workshops, real-time mentoring, and practical exercises.
3. Rapid career progression - Experience fast-track promotions and significant performance-driven pay hikes.
4. Celebrate success - Weekly recognition programs highlight top performers and put your achievements in the spotlight.
5. Unlimited earning potential - Attractive, uncapped incentives on top of your salary.",NULL,NULL,NULL,".
Skill(s) required
Business Development
Effective Communication
Inside Sales
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Academic Counselor - Fresher,"Key Responsibilities:

1. Engage with parents or adult learners and invite them to personalized 1:1 video counseling sessions.
2. Conduct impactful counseling sessions, resolve queries, and guide decision-makers toward enrolling in PlanetSpark's transformative programs.
3. Manage the complete sales funnel from first interaction to final conversion with persistence, empathy, and precision.

Why choose sales at PlanetSpark?

1. Zero cold calling, only warm leads - Work with prospects who have already attended a demo class and shown genuine interest.
2. Best-in-class training - Learn from sales champions through live workshops, real-time mentoring, and practical exercises.
3. Rapid career progression - Experience fast-track promotions and significant performance-driven pay hikes.
4. Celebrate success - Weekly recognition programs highlight top performers and put your achievements in the spotlight.
5. Unlimited earning potential - Attractive, uncapped incentives on top of your salary.",NULL,NULL,NULL,".
Skill(s) required
Business Development
Effective Communication
Inside Sales
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development Executive (BDE) - Fresher,"Key responsibilities:

1. Engage qualified, high-intent leads and craft a tailored, consultative enrollment journey that delivers real value from the first touchpoint
2. Host engaging, high-energy video consultations that foster instant rapport and elevate brand credibility
3. Navigate objections, uncover true customer motivations, and transform hesitations into successful enrollments
4. Manage the entire lead-to-enrollment pipeline like a pro, ensuring every interaction is smooth, human-centric, and conversion-optimized",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Sales Associate - Fresher,"Key responsibilities:

1. Engage qualified, high-intent leads and craft a tailored, consultative enrollment journey that delivers real value from the first touchpoint
2. Host engaging, high-energy video consultations that foster instant rapport and elevate brand credibility
3. Navigate objections, uncover true customer motivations, and transform hesitations into successful enrollments
4. Manage the entire lead-to-enrollment pipeline like a pro, ensuring every interaction is smooth, human-centric, and conversion-optimized",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development Associate - Fresher,"Key responsibilities:

1. Connect with parents or adult learners and invite them to personalized 1:1 video counseling sessions
2. Deliver value-packed counseling sessions, address concerns, and guide decision-makers toward enrolling in our transformative programs
3. Own the end-to-end sales funnel from first touch to final conversion with precision and persistence


Why sales at PlanetSpark are a game-changer:

1. No cold calls, only warm leads: Work with prospects who've already experienced a demo class, high intent, and higher success
2. World-class training: Get industry-best training with live sessions, hands-on mentoring, and real-time learning from sales champions
3. Fast-track career growth: Skyrocket your career with quick promotion cycles and aggressive performance-based pay hikes
4. Be seen, be celebrated: Weekly recognition ceremonies spotlight top performers because your hustle deserves the spotlight
5. Uncapped incentives",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development Executive - Fresher,"Key responsibilities:

1. Connect with parents or adult learners and invite them to personalized 1:1 video counseling sessions
2. Deliver value-packed counseling sessions, address concerns, and guide decision-makers toward enrolling in our transformative programs
3. Own the end-to-end sales funnel from first touch to final conversion with precision and persistence


Why sales at PlanetSpark are a game-changer:

1. No cold calls, only warm leads: Work with prospects who've already experienced a demo class, high intent, and higher success
2. World-class training: Get industry-best training with live sessions, hands-on mentoring, and real-time learning from sales champions
3. Fast-track career growth: Skyrocket your career with quick promotion cycles and aggressive performance-based pay hikes
4. Be seen, be celebrated: Weekly recognition ceremonies spotlight top performers because your hustle deserves the spotlight
5. Uncapped incentives",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Business Development Associate - Fresher,"Key Responsibilities:

1. Engage qualified, high-intent leads and craft a tailored, consultative enrollment journey that delivers real value from the first touchpoint
2. Host engaging, high-energy video consultations that foster instant rapport and elevate brand credibility
3. Navigate objections, uncover true customer motivations, and transform hesitations into successful enrollments
4. Manage the entire lead-to-enrollment pipeline like a pro, ensuring every interaction is smooth, human-centric, and conversion-optimized",NULL,NULL,NULL,"Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Sr. Graphic Designer/Lead,NULL,NULL,NULL,NULL,"Range: 55000 - 60000

We are seeking an experienced Graphic Designer Team Lead to oversee and inspire a team of designers, ensuring high-quality creative output for clients. You will lead social media content production, including photography and videography, while maintaining brand consistency and quality standards. Your role will involve hands-on design work, mentoring, coaching, and improving team efficiency. You will also manage hiring, retention, and skill development for the team.

Key Responsibilities:
Lead creative design projects, ensuring high-quality and innovative results.
Oversee social media content creation (photography, videography, etc.) for various platforms.
Maintain brand guidelines and ensure design consistency.
Coach and mentor the design team to foster growth and efficiency.
Manage team hiring, retention, and development of new skills.
Deliver projects on time and within client expectations.

Qualifications:
6-7 years of creative design experience, preferably in an advertising agency.
Expertise in social media content production and advanced design tools (Adobe Creative Suite).
Strong leadership, team management, and mentoring skills.
Excellent communication and problem-solving abilities.


Interested candidates may apply with their updated resumes and share their current ctc, expected ctc and notice period.

Who can apply

Only those candidates can apply who:

1. have minimum 6 years of experience

Salary

Annual CTC: ₹ 6,50,000 - 7,20,000 /year"
Principal For School,"The role of Principal at Principal_CBSE_Nizamabad is pivotal in shaping the educational landscape and fostering a culture of excellence within the institution. As a leader, you will collaborate with educators, students, and the community to drive innovation and growth, ensuring that every student reaches their full potential. This position offers a unique opportunity to influence the next generation while contributing to a dynamic team dedicated to educational success.Lead the development and implementation of the school's educational programs, ensuring alignment with CBSE standards and fostering academic excellence.Collaborate with teachers to create a supportive and engaging learning environment that encourages student participation and achievement.Oversee the recruitment, training, and professional development of staff, promoting a culture of continuous improvement and innovation.Engage with parents and the community to build strong partnerships that enhance student learning and support school initiatives.Monitor and evaluate student performance data to inform instructional practices and drive school improvement efforts.Manage school operations, including budgeting, resource allocation, and compliance with regulatory requirements, ensuring efficient use of resources.Foster a safe and inclusive school environment that promotes respect, diversity, and emotional well-being among students and staff.Implement and oversee extracurricular programs that enrich the student experience and promote holistic development.Advocate for the school's vision and mission, representing the institution at community events and educational forums.Encourage innovation in teaching practices and the integration of technology to enhance learning outcomes.To excel in this role, candidates should possess a strong blend of leadership, educational expertise, and a commitment to fostering a positive school culture. The following qualifications and skills are essential:Master's degree in Education or a related field, with a focus on educational leadership preferred.Proven experience in a leadership role within an educational setting, preferably in a CBSE-affiliated school.Strong understanding of curriculum development and instructional strategies that promote student engagement and achievement.Excellent communication and interpersonal skills, with the ability to build relationships with diverse stakeholders.Demonstrated ability to lead and inspire a team of educators towards achieving common goals.Proficiency in data analysis and the use of assessment tools to drive instructional improvement.Strong organizational and problem-solving skills, with the ability to manage multiple priorities effectively.Commitment to professional development and staying current with educational trends and best practices.Experience in managing school operations, including budgeting and compliance with educational regulations.Passion for fostering a positive school culture that values diversity, equity, and inclusion.",Non Teaching,"Only those candidates can apply who:

1. have minimum 9 years of experience",Min Education: Masters/Post-Graduation,"Annual CTC: ₹ 6,47,200 - 8,09,000 /year"
